set_name,theme_name,year
Super Hero High School,Super Heroes,2017
Sweeper & Excavator,City,2017
Sydney,Skylines,2017
Technic 40 year anniversary model (42057 + 42061 + 42063),Technic,2017
Telehandler,Technic,2017
The Arrowhead,Star Wars,2017
The Batmobile,Batman,2017
The Batwing,Batman,2017
The Calculator™,Batman,2017
The Capture of Sophie Jones,Elves,2017
The Eraser™,Batman,2017
The Ghost,Star Wars Rebels,2017
The Goblin King's Evil Dragon,Elves,2017
The Hulk,Brickheadz,2017
The Ice Spikes,Minecraft,2017
The Joker,Brickheadz,2017
The Joker Balloon Escape,Batman,2017
The Joker Battle Training,Batman,2017
The Joker" Notorious Lowrider,Batman,2017
The Joker™ – Arkham Asylum,Batman,2017
The Jungle Temple,Minecraft,2017
The LEGO Batman Movie Series - Complete,Collectible Minifigures,2017
The LEGO Batman Movie: Chaos in Gotham City,Books,2017
The Milano,Marvel,2017
The Milano vs. The Abilisk,Guardians of the Galaxy,2017
The Mime™,Batman,2017
The Mini Batmobile,Batman,2017
The Mini Batwing,Batman,2017
The Mushroom Island,Minecraft,2017
The Nether Railway,Minecraft,2017
The Penguin™ Arctic Roller,Batman,2017
The Phantom,Star Wars Rebels,2017
The Riddler Riddle Racer,Batman,2017
The Scuttler,Batman,2017
The Three Brothers,Nexo Knights,2017
The Vermillion Attack,Ninjago,2017
The Waterfall Base,Minecraft,2017
The Witch Hut,Minecraft,2017
TIE Advanced foil pack,Star Wars,2017
Tie Striker Microfighter,Mini,2017
Tow Truck Trouble,Police,2017
Tracker I,Star Wars,2017
Turbo Track Racer,Creator,2017
Turtle,Creature,2017
Two-Face" Double Demolition,Batman,2017
U-wing,Star Wars,2017
U-wing,Star Wars Rogue One,2017
U-Wing Fighter,Star Wars Rogue One,2017
Ultralight Helicopter,Technic,2017
Vacation Batman™,Batman,2017
Vermillion Invader,Ninjago,2017
Veterinarian,Series 17 Minifigures,2017
Vulture Droid foil pack,Star Wars Episode 3,2017
Wishing Well,Friends,2017
Wonder Woman Dorm,Super Heroes,2017
Wonder Woman" Warrior Battle,Super Heroes,2017
Y-wing,Star Wars,2017
Y-Wing Starfighter,Star Wars Rogue One,2017
Yoda's Jedi Starfighter,Star Wars Clone Wars,2017
Yuppie,Series 17 Minifigures,2017
Zodiac Master™,Batman,2017
